arm,pct,repeat,log,started,ended,load_s,others_before,others_after
rtllm,5,1,/home/mm562/TimelyLLM/timelyllm/logs/sweep3b-rtllm-p5-r1.log,2026-08-28T13:02:59+06:00,2026-08-28T13:09:31+06:00,15.4,"",""
rtllm,8,1,/home/mm562/TimelyLLM/timelyllm/logs/sweep3b-rtllm-p8-r1.log,2026-08-28T13:09:31+06:00,2026-08-28T13:16:01+06:00,14.4,"",""
rtllm,10,1,/home/mm562/TimelyLLM/timelyllm/logs/sweep3b-rtllm-p10-r1.log,2026-08-28T13:16:01+06:00,2026-08-28T13:22:31+06:00,14.1,"",""
rtllm,12,1,/home/mm562/TimelyLLM/timelyllm/logs/sweep3b-rtllm-p12-r1.log,2026-08-28T13:22:31+06:00,2026-08-28T13:29:00+06:00,13.9,"",""
rtllm,25,1,/home/mm562/TimelyLLM/timelyllm/logs/sweep3b-rtllm-p25-r1.log,2026-08-28T13:29:00+06:00,2026-08-28T13:35:28+06:00,13.9,"",""
rtllm,5,2,/home/mm562/TimelyLLM/timelyllm/logs/sweep3b-rtllm-p5-r2.log,2026-08-28T13:35:29+06:00,2026-08-28T13:41:59+06:00,14.9,"",""
