arm,pct,repeat,log,started,ended,load_s,others_before,others_after
rtllm,10,1,/space/mm562/TimelyLLM/timelyllm/logs/gh200-pilot-rtllm-p10-r1.log,2026-09-03T06:00:50+00:00,2026-09-03T06:07:43+00:00,37.2,"root:275636(110 MiB)","root:275636(110 MiB)"
rtllm,25,1,/space/mm562/TimelyLLM/timelyllm/logs/gh200-pilot-rtllm-p25-r1.log,2026-09-03T06:07:44+00:00,2026-09-03T06:14:06+00:00,8.4,"root:275636(110 MiB)","root:275636(110 MiB)"
rtllm,50,1,/space/mm562/TimelyLLM/timelyllm/logs/gh200-pilot-rtllm-p50-r1.log,2026-09-03T06:14:06+00:00,2026-09-03T06:20:29+00:00,8.4,"root:275636(110 MiB)","root:275636(110 MiB)"
rtllm,100,1,/space/mm562/TimelyLLM/timelyllm/logs/gh200-pilot-rtllm-p100-r1.log,2026-09-03T06:20:29+00:00,2026-09-03T06:26:51+00:00,8.4,"root:275636(110 MiB)","root:275636(110 MiB)"
